Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Schwarz, J; Bärkås, A; Blease, C; Collins, L; Hägglund, M; Markham, S; Hochwarter, S",,,,"Schwarz, Julian; Barkas, Annika; Blease, Charlotte; Collins, Lorna; Hagglund, Maria; Markham, Sarah; Hochwarter, Stefan",,,Sharing Clinical Notes and Electronic Health Records With People Affected by Mental Health Conditions: Scoping Review,JMIR MENTAL HEALTH,,,,,,,,,,,,,,,,,"Markham, Sarah/I-2809-2019; Hägglund, Maria/K-2569-2012; Hägglund, Maria/IUQ-2130-2023; Schwarz, Julian/AAD-9506-2022","Markham, Sarah/0000-0002-8755-5935; Hägglund, Maria/0000-0002-6839-3651; Hägglund, Maria/0000-0002-6839-3651; Collins, Lorna/0000-0002-0901-4033; BLEASE, CHARLOTTE/0000-0002-0205-1165; Schwarz, Julian/0000-0001-7306-7909; Barkas, Annika/0000-0002-1209-7714; Hochwarter, Stefan/0000-0003-2652-135X",,,,,,,,,,,,,2368-7959,,,,,DEC 8,2021,8,12,,,,,,,e34170,10.2196/34170,http://dx.doi.org/10.2196/34170,,,,,,,,34904956,,,,,WOS:000739100300011,View Full Record in Web of Science
J,"Kang, MJ; Rossetti, SC; Knaplund, C; Chang, FY; Schnock, KO; Whalen, K; Gesner, EJ; Garcia, JP; Cato, KD; Dykes, PC",,,,"Kang, Min-Jeoung; Rossetti, Sarah Collins; Knaplund, Christopher; Chang, Frank Y.; Schnock, Kumiko O.; Whalen, Kimberly; Gesner, Emily J.; Garcia, Jose P.; Cato, Kenrick D.; Dykes, Patricia C.",,,Nursing Documentation Variation Across Different Medical Facilities Within an Integrated Healthcare System,CIN-COMPUTERS INFORMATICS NURSING,,,,,,,,,,,,,,,,,,"Garcia, Jr., Jose Pedro/0000-0001-5089-547X",,,,,,,,,,,,,1538-2931,1538-9774,,,,DEC,2021,39,12,,,,,845,850,,10.1097/CIN.0000000000000736,http://dx.doi.org/10.1097/CIN.0000000000000736,,,,,,,,33935196,,,,,WOS:000727623100003,View Full Record in Web of Science
J,"Shah, LSM; Borycki, EM; Shah, JA; Kushniruk, AW",,,,"Shah, Lisa M.; Borycki, Elizabeth M.; Shah, Justin A.; Kushniruk, Andre W.",,,"Effects of medical scribes on patients, physicians, and safety: A scoping review",KNOWLEDGE MANAGEMENT & E-LEARNING-AN INTERNATIONAL JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073-7904,,,,,DEC,2021,13,4,,,,,559,629,,10.34105/j.kmel.2021.13.030,http://dx.doi.org/10.34105/j.kmel.2021.13.030,,,,,,,,,,,,,WOS:000770291900012,View Full Record in Web of Science
J,"Gong, JJ; Soleimani, H; Murray, SG; Adler-Milstein, J",,,,"Gong, Jen J.; Soleimani, Hossein; Murray, Sara G.; Adler-Milstein, Julia",,,Characterizing styles of clinical note production and relationship to clinical work hours among first-year residents,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067-5027,1527-974X,,,,JAN,2021,29,1,,,,,120,127,,10.1093/jamia/ocab253,http://dx.doi.org/10.1093/jamia/ocab253,,NOV 2021,,,,,,34963142,,,,,WOS:000740719600014,View Full Record in Web of Science
J,"Phillips, T; Baur, K",,,,"Phillips, Toni; Baur, Karen",,,Nursing Praxis for Reducing Documentation Burden Within Nursing Admission Assessments,CIN-COMPUTERS INFORMATICS NURSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538-2931,1538-9774,,,,NOV,2021,39,11,,,,,627,633,,10.1097/CIN.0000000000000776,http://dx.doi.org/10.1097/CIN.0000000000000776,,,,,,,,34145208,,,,,WOS:000715400100004,View Full Record in Web of Science
J,"Rule, A; Hribar, MR",,,,"Rule, Adam; Hribar, Michelle R.",,,Frequent but fragmented: use of note templates to document outpatient visits at an academic health center,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Rule, Adam/0000-0003-2441-3320",,,,,,,,,,,,,1067-5027,1527-974X,,,,JAN,2021,29,1,,,,,137,141,,10.1093/jamia/ocab230,http://dx.doi.org/10.1093/jamia/ocab230,,OCT 2021,,,,,,34664655,,,,,WOS:000740719600016,View Full Record in Web of Science
J,"de Hoop, T; Neumuth, T",,,,"de Hoop, Tom; Neumuth, Thomas",,,Evaluating Electronic Health Record Limitations and Time Expenditure in a German Medical Center,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869-0327,,,,,OCT,2021,12,5,,,,,1082,1090,,10.1055/s-0041-1739519,http://dx.doi.org/10.1055/s-0041-1739519,,,,,,,,34937102,,,,,WOS:000732988100001,View Full Record in Web of Science
J,"Moy, AJ; Aaron, L; Cato, KD; Schwartz, JM; Elias, J; Trepp, R; Rossetti, SC",,,,"Moy, Amanda J.; Aaron, Lucy; Cato, Kenrick D.; Schwartz, Jessica M.; Elias, Jonathan; Trepp, Richard; Rossetti, Sarah Collins",,,Characterizing Multitasking and Workflow Fragmentation in Electronic Health Records among Emergency Department Clinicians: Using Time-Motion Data to Understand Documentation Burden,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869-0327,,,,,OCT,2021,12,5,,,,,1002,1013,,10.1055/s-0041-1736625,http://dx.doi.org/10.1055/s-0041-1736625,,,,,,,,34706395,,,,,WOS:000711608100002,View Full Record in Web of Science
J,"Moy, AJ; Schwartz, JM; Withall, J; Lucas, E; Cato, KD; Rosenbloom, ST; Johnson, K; Murphy, J; Detmer, DE; Rossetti, SC",,,,"Moy, Amanda J.; Schwartz, Jessica M.; Withall, Jennifer; Lucas, Eugene; Cato, Kenrick D.; Rosenbloom, S. Trent; Johnson, Kevin; Murphy, Judy; Detmer, Don E.; Rossetti, Sarah Collins",,,Clinician and Health Care Leaders' Experiences with-and Perceptions of-COVID-19 Documentation Reduction Policies and Practices,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869-0327,,,,,OCT,2021,12,5,,,,,1061,1073,,10.1055/s-0041-1739518,http://dx.doi.org/10.1055/s-0041-1739518,,,,,,,,34820789,,,,,WOS:000722004100002,View Full Record in Web of Science
J,"Ziemann, M; Erikson, C; Krips, M",,,,"Ziemann, Margaret; Erikson, Clese; Krips, Maddie",,,The Use of Medical Scribes in Primary Care Settings A Literature Synthesis,MEDICAL CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0025-7079,1537-1948,,,,OCT,2021,59,10,,5,,,S449,S456,,10.1097/MLR.0000000000001605,http://dx.doi.org/10.1097/MLR.0000000000001605,,,,,,,,34524242,,,,,WOS:000766274100010,View Full Record in Web of Science
J,"Mohan, V; Garrison, C; Gold, JA",,,,"Mohan, Vishnu; Garrison, Cort; Gold, Jeffrey A.",,,Using a New Model of Electronic Health Record Training to Reduce Physician Burnout: A Plan for Action,JMIR MEDICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Mohan, Vishnu/0000-0003-3873-4969; gold, jeffrey/0000-0001-6683-9907",,,,,,,,,,,,,,2291-9694,,,,SEP,2021,9,9,,,,,,,e29374,10.2196/29374,http://dx.doi.org/10.2196/29374,,,,,,,,34325400,,,,,WOS:000703023000005,View Full Record in Web of Science
J,"Osinski, T; Warren, G; Messing, E; O'Brien, J",,,,"Osinski, Thomas; Warren, Gareth; Messing, Edward; O'Brien, Jeanne",,,BURNOUT AND DOCUMENTATION BURDEN AMONG UROLOGY RESIDENTS AND ATTENDINGS AT THE UNIVERSITY OF ROCHESTER,JOURNAL OF UROLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022-5347,1527-3792,,,,SEP,2021,206,,,3,,MP34-04,E617,E617,,,,,,,,,,,,,,,,WOS:000693688500492,View Full Record in Web of Science
J,"Nguyen, OT; Shah, S; Gartland, AJ; Parekh, A; Turner, K; Feldman, SS; Merlo, LJ",,,,"Nguyen, Oliver T.; Shah, Shivani; Gartland, Alexander J.; Parekh, Arpan; Turner, Kea; Feldman, Sue S.; Merlo, Lisa J.",,,Factors associated with nurse well-being in relation to electronic health record use: A systematic review,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Merlo, Lisa J./AAU-9179-2020","Merlo, Lisa J./0000-0003-3613-7853; Nguyen, Oliver/0000-0003-2852-7106; Parekh, Arpan/0000-0002-7896-8949",,,,,,,,,,,,,1067-5027,1527-974X,,,,JUN,2021,28,6,,,,,1288,1297,,10.1093/jamia/ocaa289,http://dx.doi.org/10.1093/jamia/ocaa289,,,,,,,,33367819,,,,,WOS:000671031900028,View Full Record in Web of Science
J,"Wilkie, T; Tajirian, T; Stergiopoulos, V",,,,"Wilkie, Treena; Tajirian, Tania; Stergiopoulos, Vicky",,,"Advancing physician wellness, engagement and excellence in a mental health setting: a Canadian perspective",HEALTH PROMOTION INTERNATIONAL,,,,,,,,,,,,,,,,,"Tajirian, Tania/ITU-5811-2023","Wilkie, Treena/0000-0001-7824-8047",,,,,,,,,,,,,0957-4824,1460-2245,,,,FEB 17,2022,37,1,,,,,,,,10.1093/heapro/daab061,http://dx.doi.org/10.1093/heapro/daab061,,MAY 2021,,,,,,33942064,,,,,WOS:000755861900001,View Full Record in Web of Science
J,"Dymek, C; Kim, B; Melton, GB; Payne, TH; Singh, H; Hsiao, CJ",,,,"Dymek, Christine; Kim, Bryan; Melton, Genevieve B.; Payne, Thomas H.; Singh, Hardeep; Hsiao, Chun-Ju",,,Building the evidence-base to reduce electronic health record-related clinician burden,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Melton-Meaux, Genevieve B/HSE-3064-2023","Melton-Meaux, Genevieve B/0000-0001-5193-1663; SINGH, HARDEEP/0000-0002-4419-8974; Payne, Thomas/0000-0002-3416-5474",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,1057,1061,,10.1093/jamia/ocaa238,http://dx.doi.org/10.1093/jamia/ocaa238,,,,,,,,33340326,,,,,WOS:000648977800024,View Full Record in Web of Science
J,"Johnson, KB; Neuss, MJ; Detmer, DE",,,,"Johnson, Kevin B.; Neuss, Michael J.; Detmer, Don Eugene",,,Electronic health records and clinician burnout: A story of three eras,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Neuss, Michael James/ABF-8452-2020","Neuss, Michael/0000-0002-6192-0025",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,967,973,,10.1093/jamia/ocaa274,http://dx.doi.org/10.1093/jamia/ocaa274,,,,,,,,33367815,,,,,WOS:000648977800011,View Full Record in Web of Science
J,"McIlreevy, J; Rylee, TL; Shields-Tettamanti, T; Gee, PM",,,,"McIlreevy, John; Rylee, Tina L.; Shields-Tettamanti, Tiffany; Gee, Perry M.",,,Interdisciplinary Optimization of Admission Documentation Reducing the Bloat,CIN-COMPUTERS INFORMATICS NURSING,,,,,,,,,,,,,,,,,"Rylee, Tina/GPK-6057-2022",,,,,,,,,,,,,,1538-2931,1538-9774,,,,MAY,2021,39,5,,,,,248,256,,10.1097/CIN.0000000000000695,http://dx.doi.org/10.1097/CIN.0000000000000695,,,,,,,,33264124,,,,,WOS:000652452000004,View Full Record in Web of Science
J,"Wu, DTY; Xu, C; Kim, A; Bindhu, S; Mah, KE; Eckman, MH",,,,"Wu, Danny T. Y.; Xu, Catherine; Kim, Abraham; Bindhu, Shwetha; Mah, Kenneth E.; Eckman, Mark H.",,,A Scoping Review of Health Information Technology in Clinician Burnout,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Bindhu, Shwetha/0000-0001-6808-2653; Mah, Kenneth/0000-0003-2854-9727; Kim, Abraham/0000-0003-0396-6129; Xu, Catherine/0000-0002-8342-177X; Wu, Tzu-Yu/0000-0002-7658-3754",,,,,,,,,,,,,1869-0327,,,,,MAY,2021,12,3,,,,,597,620,,10.1055/s-0041-1731399,http://dx.doi.org/10.1055/s-0041-1731399,,,,,,,,34233369,,,,,WOS:000670383100003,View Full Record in Web of Science
J,"Horn, JJ; Doucette, JN; Sweeney, NL",,,,"Horn, Jenny J.; Doucette, Jeffrey N.; Sweeney, Nancy L.",,,An Essential Clinical Dataset Intervention for Nursing Documentation of a Pediatric Admission History Database,JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES,,,,,,,,,,,,,,,,,"Sweeney, Nancy/GRX-4394-2022",,,,,,,,,,,,,,0882-5963,,,,,JUL-AUG,2021,59,,,,,,110,114,,10.1016/j.pedn.2021.03.022,http://dx.doi.org/10.1016/j.pedn.2021.03.022,,APR 2021,,,,,,33845323,,,,,WOS:000677490000032,View Full Record in Web of Science
J,"van Buchem, MM; Boosman, H; Bauer, MP; Kant, IMJ; Cammel, SA; Steyerberg, EW",,,,"van Buchem, Marieke M.; Boosman, Hileen; Bauer, Martijn P.; Kant, Ilse M. J.; Cammel, Simone A.; Steyerberg, Ewout W.",,,The digital scribe in clinical practice: a scoping review and research agenda,NPJ DIGITAL MEDICINE,,,,,,,,,,,,,,,,,"Steyerberg, Ewout W/C-1509-2018","Steyerberg, Ewout W/0000-0002-7787-0122; van Buchem, Marieke/0000-0002-2917-0842",,,,,,,,,,,,,2398-6352,,,,,MAR 26,2021,4,1,,,,,,,57,10.1038/s41746-021-00432-5,http://dx.doi.org/10.1038/s41746-021-00432-5,,,,,,,,33772070,,,,,WOS:000635174700001,View Full Record in Web of Science
J,"Cooper, AL; Brown, JA; Eccles, SP; Cooper, N; Albrecht, MA",,,,"Cooper, Alannah L.; Brown, Janie A.; Eccles, Siobhan P.; Cooper, Narelle; Albrecht, Matthew A.",,,Is nursing and midwifery clinical documentation a burden? An empirical study of perception versus reality,JOURNAL OF CLINICAL NURSING,,,,,,,,,,,,,,,,,"Cooper, Alannah L/AAQ-7707-2020; Brown, Janie/T-7861-2019; Albrecht, Matthew/H-5918-2019","Cooper, Alannah L/0000-0002-4009-9792; Brown, Janie/0000-0001-8502-4252; Albrecht, Matthew/0000-0002-6540-5979",,,,,,,,,,,,,0962-1067,1365-2702,,,,JUN,2021,30,11-12,,,,,1645,1652,,10.1111/jocn.15718,http://dx.doi.org/10.1111/jocn.15718,,MAR 2021,,,,,,33590554,,,,,WOS:000626127700001,View Full Record in Web of Science
J,"Yin, ZJ; Liu, YT; McCoy, AB; Malin, BA; Sengstack, PR",,,,"Yin, Zhijun; Liu, Yongtai; McCoy, Allison B.; Malin, Bradley A.; Sengstack, Patricia R.",,,Contribution of Free-Text Comments to the Burden of Documentation: Assessment and Analysis of Vital Sign Comments in Flowsheets,JOURNAL OF MEDICAL INTERNET RESEARCH,,,,,,,,,,,,,,,,,"Yin, Zhijun/AAL-3193-2020; McCoy, Allison/I-1951-2013","Liu, Yongtai/0000-0002-0279-3644; Malin, Bradley/0000-0003-3040-5175; Yin, Zhijun/0000-0002-3075-1337; McCoy, Allison/0000-0003-2292-9147; Sengstack, Patricia/0000-0002-7807-2173",,,,,,,,,,,,,1438-8871,,,,,MAR 4,2021,23,3,,,,,,,e22806,10.2196/22806,http://dx.doi.org/10.2196/22806,,,,,,,,33661128,,,,,WOS:000625378800002,View Full Record in Web of Science
J,"Englebright, J; Michel, S; Boyd, DL; Hulett, SL",,,,"Englebright, Jane; Michel, Sarah; Boyd, David L.; Hulett, Shannon L.",,,A Framework for National Collaboration to Reduce Documentation Burden and Design for Usable and Reusable Data,JOURNAL OF NURSING ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-0443,1539-0721,,,,MAR,2021,51,3,,,,,162,167,,10.1097/NNA.0000000000000988,http://dx.doi.org/10.1097/NNA.0000000000000988,,,,,,,,33570374,,,,,WOS:000623966100011,View Full Record in Web of Science
J,"Otokiti, AU; Craven, CK; Shetreat-Klein, A; Cohen, S; Darrow, B",,,,"Otokiti, Ahmed Umar; Craven, Catherine K.; Shetreat-Klein, Avniel; Cohen, Stacey; Darrow, Bruce",,,"Beyond Getting Rid of Stupid Stuff in the Electronic Health Record (Beyond-GROSS): Protocol for a User-Centered, Mixed-Method Intervention to Improve the Electronic Health Record System",JMIR RESEARCH PROTOCOLS,,,,,,,,,,,,,,,,,,"Otokiti, Ahmed/0000-0002-0723-5721",,,,,,,,,,,,,1929-0748,,,,,MAR,2021,10,3,,,,,,,e25148,10.2196/25148,http://dx.doi.org/10.2196/25148,,,,,,,,33724202,,,,,WOS:000639612800001,View Full Record in Web of Science
J,"Starren, JB; Tierney, WM; Williams, MS; Tang, P; Weir, C; Koppel, R; Payne, P; Hripcsak, G; Detmer, DE",,,,"Starren, Justin B.; Tierney, William M.; Williams, Marc S.; Tang, Paul; Weir, Charlene; Koppel, Ross; Payne, Philip; Hripcsak, George; Detmer, Don E.",,,A retrospective look at the predictions and recommendations from the 2009 AMIA policy meeting: did we see EHR-related clinician burnout coming?,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Payne, Philip R.O./E-3841-2011","Weir, Charlene/0000-0002-8297-2860; Payne, Philip/0000-0002-9532-2998; Koppel, Ross/0000-0002-8235-9900",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,948,954,,10.1093/jamia/ocaa320,http://dx.doi.org/10.1093/jamia/ocaa320,,FEB 2021,,,,,,33585936,,,,,WOS:000648977800008,View Full Record in Web of Science
J,"Nguyen, OT; Jenkins, NJ; Khanna, N; Shah, S; Gartland, AJ; Turner, K; Merlo, LJ",,,,"Nguyen, Oliver T.; Jenkins, Nyasia J.; Khanna, Neel; Shah, Shivani; Gartland, Alexander J.; Turner, Kea; Merlo, Lisa J.",,,A systematic review of contributing factors of and solutions to electronic health record-related impacts on physician well-being,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Merlo, Lisa J./AAU-9179-2020","Merlo, Lisa J./0000-0003-3613-7853; Nguyen, Oliver/0000-0003-2852-7106",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,974,984,,10.1093/jamia/ocaa339,http://dx.doi.org/10.1093/jamia/ocaa339,,FEB 2021,,,,,,33517382,,,,,WOS:000648977800012,View Full Record in Web of Science
J,"Craig, KJT; Willis, V; Gruen, D; Rhee, K; Jackson, GP",,,,"Craig, Kelly J. Thomas; Willis, Van C.; Gruen, David; Rhee, Kyu; Jackson, Gretchen P.",,,The burden of the digital environment: a systematic review on organization-directed workplace interventions to mitigate physician burnout,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,"Thomas Craig, Kelly Jean/ABE-6181-2021","Thomas Craig, Kelly Jean/0000-0002-9954-2795",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,985,997,,10.1093/jamia/ocaa301,http://dx.doi.org/10.1093/jamia/ocaa301,,JAN 2021,,,,,,33463680,,,,,WOS:000648977800013,View Full Record in Web of Science
J,"Moy, AJ; Schwartz, JM; Chen, RJ; Sadri, S; Lucas, E; Cato, KD; Rossetti, SC",,,,"Moy, Amanda J.; Schwartz, Jessica M.; Chen, RuiJun; Sadri, Shirin; Lucas, Eugene; Cato, Kenrick D.; Rossetti, Sarah Collins",,,Measurement of clinical documentation burden among physicians and nurses using electronic health records: a scoping review,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Chen, RuiJun/0000-0001-5281-4143; Rossetti, Sarah/0000-0003-2632-8867; Schwartz, Jessica/0000-0002-1457-5724",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2021,28,5,,,,,998,1008,,10.1093/jamia/ocaa325,http://dx.doi.org/10.1093/jamia/ocaa325,,JAN 2021,,,,,,33434273,,,,,WOS:000648977800014,View Full Record in Web of Science
C,"Li, B; Crampton, N; Yeates, T; Xia, Y; Tian, XR; Truong, KN",,,ASSOC COMP MACHINERY,"Li, Brenna; Crampton, Noah; Yeates, Thomas; Xia, Yu; Tian, Xirong; Truong, Khai N.",,,Automating Clinical Documentation with Digital Scribes: Understanding the Impact on Physicians,CHI '21: PROCEEDINGS OF THE 2021 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,,,,,CHI Conference on Human Factors in Computing Systems,"MAY 08-13, 2021",ELECTR NETWORK,"ACM SIGCHI,Assoc Comp Machinery,Bloomberg,Facebook,Google,Kyocera,Microsoft,Monash Univ,Verizon Media",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4503-8096-6,,,,2021,,,,,,,,,,10.1145/3411764.3445172,http://dx.doi.org/10.1145/3411764.3445172,,,,,,,,,,,,,WOS:000758168001072,View Full Record in Web of Science
J,"Sinsky, C; Linzer, M",,,,"Sinsky, Christine; Linzer, Mark",,,"Practice And Policy Reset Post-COVID-19: Reversion, Transition, Or Transformation?",HEALTH AFFAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0278-2715,,,,,AUG,2020,39,8,,,,,1405,1411,,10.1377/hlthaff.2020.00612,http://dx.doi.org/10.1377/hlthaff.2020.00612,,,,,,,,32744939,,,,,WOS:000557072300018,View Full Record in Web of Science
J,"Rowlands, S; Tariq, A; Coverdale, S; Walker, S; Wood, M",,,,"Rowlands, Stella; Tariq, Amina; Coverdale, Steven; Walker, Sue; Wood, Maryann",,,A qualitative investigation into clinical documentation: why do clinicians document the way they do?,HEALTH INFORMATION MANAGEMENT JOURNAL,,,,,,,,,,,,,,,,,"Coverdale, Steven/Q-8366-2018","Coverdale, Steven/0000-0002-9648-4622; Rowlands, Stella/0000-0002-3994-0791; Tariq, Amina/0000-0002-2415-8246; Wood, Maryann/0000-0002-8048-0985; Walker, Susan/0000-0002-3953-7724",,,,,,,,,,,,,1833-3583,1833-3575,,,,SEP,2022,51,3,,,,,126,134,1.83336E+15,10.1177/1833358320929776,http://dx.doi.org/10.1177/1833358320929776,,JUL 2020,,,,,,32643428,,,,,WOS:000548439600001,View Full Record in Web of Science
J,"Peters, SG",,,,"Peters, Steve G.",,,New Billing Rules for Outpatient Office Visit Codes,CHEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0012-3692,1931-3543,,,,JUL,2020,158,1,,,,,298,302,,10.1016/j.chest.2020.01.028,http://dx.doi.org/10.1016/j.chest.2020.01.028,,,,,,,,32057804,,,,,WOS:000545659700058,View Full Record in Web of Science
J,"McClelland, WB; McCollam, SM",,,,"McClelland, Walter B., Jr.; McCollam, Stephen M.",,,Impact of the Current United States Health Care Environment on Practice A Private Practice Viewpoint,HAND CLINICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0749-0712,1558-1969,,,,MAY,2020,36,2,,,,,155,+,,10.1016/j.hcl.2020.01.015,http://dx.doi.org/10.1016/j.hcl.2020.01.015,,,,,,,,32307045,,,,,WOS:000527294600006,View Full Record in Web of Science
J,"Sawe, HR; Sirili, N; Weber, E; Coats, TJ; Reynolds, TA; Wallis, LA",,,,"Sawe, Hendry R.; Sirili, Nathanael; Weber, Ellen; Coats, Timothy J.; Reynolds, Teri A.; Wallis, Lee A.",,,Perceptions of health providers towards the use of standardised trauma form in managing trauma patients: a qualitative study from Tanzania,INJURY EPIDEMIOLOGY,,,,,,,,,,,,,,,,,"Weber, Ellen/GRR-9967-2022; Coats, Timothy/AAW-1254-2021","Coats, Timothy/0000-0003-2736-2784; Wallis, Lee/0000-0003-2711-3139",,,,,,,,,,,,,,2197-1714,,,,MAY 1,2020,7,1,,,,,,,15,10.1186/s40621-020-00244-3,http://dx.doi.org/10.1186/s40621-020-00244-3,,,,,,,,32354375,,,,,WOS:000669364300001,View Full Record in Web of Science
J,"Tran, BD; Chen, YN; Liu, SZ; Zheng, K",,,,"Tran, Brian D.; Chen, Yunan; Liu, Songzi; Zheng, Kai",,,How does medical scribes' work inform development of speech-based clinical documentation technologies? A systematic review,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Liu, Songzi/0000-0003-2428-3247",,,,,,,,,,,,,1067-5027,1527-974X,,,,MAY,2020,27,5,,,,,808,817,,10.1093/jamia/ocaa020,http://dx.doi.org/10.1093/jamia/ocaa020,,,,,,,,32181812,,,,,WOS:000537475700018,View Full Record in Web of Science
J,"Brown, JA; Cooper, AL; Albrecht, MA",,,,"Brown, Janie A.; Cooper, Alannah L.; Albrecht, Matthew A.",,,Development and content validation of the Burden of Documentation for Nurses and Midwives (BurDoNsaM) survey,JOURNAL OF ADVANCED NURSING,,,,,,,,,,,,,,,,,"Brown, Janie/T-7861-2019; Cooper, Alannah L/AAQ-7707-2020; Albrecht, Matthew/H-5918-2019","Brown, Janie/0000-0001-8502-4252; Cooper, Alannah L/0000-0002-4009-9792; Albrecht, Matthew/0000-0002-6540-5979",,,,,,,,,,,,,0309-2402,1365-2648,,,,MAY,2020,76,5,,,,,1273,1281,,10.1111/jan.14320,http://dx.doi.org/10.1111/jan.14320,,FEB 2020,,,,,,32027387,,,,,WOS:000516838400001,View Full Record in Web of Science
J,"Baxter, SL; Gali, HE; Chiang, MF; Hribar, MR; Ohno-Machado, L; El-Kareh, R; Huang, AE; Chen, HE; Camp, AS; Kikkawa, DO; Korn, BS; Lee, JE; Longhurst, CA; Millen, M",,,,"Baxter, Sally L.; Gali, Helena E.; Chiang, Michael F.; Hribar, Michelle R.; Ohno-Machado, Lucila; El-Kareh, Robert; Huang, Abigail E.; Chen, Heather E.; Camp, Andrew S.; Kikkawa, Don O.; Korn, Bobby S.; Lee, Jeffrey E.; Longhurst, Christopher A.; Millen, Marlene",,,Promoting Quality Face-to-Face Communication during Ophthalmology Encounters in the Electronic Health Record Era,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Chiang, Michael/0000-0002-8172-7636; Longhurst, Christopher/0000-0003-4908-6856; Baxter, Sally/0000-0002-5271-7690",,,,,,,,,,,,,1869-0327,,,,,JAN,2020,11,1,,,,,130,141,,10.1055/s-0040-1701255,http://dx.doi.org/10.1055/s-0040-1701255,,,,,,,,32074650,,,,,WOS:000517113300001,View Full Record in Web of Science
